@relation FemaleData

@attribute 'Cancer Site' {'All Sites','Colon and Rectum','Lung and Bronchus',Ovary,'Brain and Other Nervous System','Female Breast'}
@attribute 'Cancer Free Age' numeric
@attribute 'Probability of Developing Cancer (\%) by Age' numeric
@attribute Risk numeric

@data
'Colon and Rectum',55,50,?
'Colon and Rectum',55,55,?
'Colon and Rectum',55,60,0.285
'Colon and Rectum',55,65,0.632
'Colon and Rectum',55,70,1.073
'Colon and Rectum',55,75,1.593
'Colon and Rectum',55,80,2.199
'Colon and Rectum',55,85,2.829
'Colon and Rectum',55,90,3.338
'Colon and Rectum',55,95,3.607
'Colon and Rectum',55,95,3.722
'Colon and Rectum',60,5,?
'Colon and Rectum',60,10,?
'Colon and Rectum',60,15,?
'Colon and Rectum',60,20,?
'Colon and Rectum',60,25,?
'Colon and Rectum',60,30,?
'Colon and Rectum',60,35,?
'Colon and Rectum',60,40,?
'Colon and Rectum',60,45,?
'Colon and Rectum',60,50,?
'Colon and Rectum',60,55,?
'Colon and Rectum',60,60,?
'Colon and Rectum',60,65,0.357
'Colon and Rectum',60,70,0.811
'Colon and Rectum',60,75,1.345
'Colon and Rectum',60,80,1.969
'Colon and Rectum',60,85,2.617
'Colon and Rectum',60,90,3.14
'Colon and Rectum',60,95,3.417
'Colon and Rectum',60,95,3.536
'Colon and Rectum',65,5,?
'Colon and Rectum',65,10,?
'Colon and Rectum',65,15,?
'Colon and Rectum',65,20,?
'Colon and Rectum',65,25,?
'Colon and Rectum',65,30,?
'Colon and Rectum',65,35,?
'Colon and Rectum',65,40,?
'Colon and Rectum',65,45,?
'Colon and Rectum',65,50,?
'Colon and Rectum',65,55,?
'Colon and Rectum',65,60,?
'Colon and Rectum',65,65,?
'Colon and Rectum',65,70,0.472
'Colon and Rectum',65,75,1.029
'Colon and Rectum',65,80,1.678
'Colon and Rectum',65,85,2.353
'Colon and Rectum',65,90,2.898
'Colon and Rectum',65,95,3.186
'Colon and Rectum',65,95,3.31
'Colon and Rectum',70,5,?
'Colon and Rectum',70,10,?
'Colon and Rectum',70,15,?
'Colon and Rectum',70,20,?
'Colon and Rectum',70,25,?
'Colon and Rectum',70,30,?
'Colon and Rectum',70,35,?
'Colon and Rectum',70,40,?
'Colon and Rectum',70,45,?
'Colon and Rectum',70,50,?
'Colon and Rectum',70,55,?
'Colon and Rectum',70,60,?
'Colon and Rectum',70,65,?
'Colon and Rectum',70,70,?
'Colon and Rectum',70,75,0.591
'Colon and Rectum',70,80,1.28
'Colon and Rectum',70,85,1.997
'Colon and Rectum',70,90,2.575
'Colon and Rectum',70,95,2.881
'Colon and Rectum',70,95,3.013
'Colon and Rectum',75,5,?
'Colon and Rectum',75,10,?
'Colon and Rectum',75,15,?
'Colon and Rectum',75,20,?
'Colon and Rectum',75,25,?
'Colon and Rectum',75,30,?
'Colon and Rectum',75,35,?
'Colon and Rectum',75,40,?
'Colon and Rectum',75,45,?
'Colon and Rectum',75,50,?
'Colon and Rectum',75,55,?
'Colon and Rectum',75,60,?
'Colon and Rectum',75,65,?
'Colon and Rectum',75,70,?
'Colon and Rectum',75,75,?
'Colon and Rectum',75,80,0.758
'Colon and Rectum',75,85,1.545
'Colon and Rectum',75,90,2.182
'Colon and Rectum',75,95,2.518
'Colon and Rectum',75,95,2.663
'Colon and Rectum',80,5,?
'Colon and Rectum',80,10,?
'Colon and Rectum',80,15,?
'Colon and Rectum',80,20,?
'Colon and Rectum',80,25,?
'Colon and Rectum',80,30,?
'Colon and Rectum',80,35,?
'Colon and Rectum',80,40,?
'Colon and Rectum',80,45,?
'Colon and Rectum',80,50,?
'Colon and Rectum',80,55,?
'Colon and Rectum',80,60,?
'Colon and Rectum',80,65,?
'Colon and Rectum',80,70,?
'Colon and Rectum',80,75,?
'Colon and Rectum',80,80,?
'Colon and Rectum',80,85,0.921
'Colon and Rectum',80,90,1.665
'Colon and Rectum',80,95,2.058
'Colon and Rectum',80,95,2.227
'Colon and Rectum',85,5,?
'Colon and Rectum',85,10,?
'Colon and Rectum',85,15,?
'Colon and Rectum',85,20,?
'Colon and Rectum',85,25,?
'Colon and Rectum',85,30,?
'Colon and Rectum',85,35,?
'Colon and Rectum',85,40,?
'Colon and Rectum',85,45,?
'Colon and Rectum',85,50,?
'Colon and Rectum',85,55,?
'Colon and Rectum',85,60,?
'Colon and Rectum',85,65,?
'Colon and Rectum',85,70,?
'Colon and Rectum',85,75,?
'Colon and Rectum',85,80,?
'Colon and Rectum',85,85,?
'Colon and Rectum',85,90,0.971
'Colon and Rectum',85,95,1.485
'Colon and Rectum',85,95,1.705
'Colon and Rectum',90,5,?
'Colon and Rectum',90,10,?
'Colon and Rectum',90,15,?
'Colon and Rectum',90,20,?
'Colon and Rectum',90,25,?
'Colon and Rectum',90,30,?
'Colon and Rectum',90,35,?
'Colon and Rectum',90,40,?
'Colon and Rectum',90,45,?
'Colon and Rectum',90,50,?
'Colon and Rectum',90,55,?
'Colon and Rectum',90,60,?
'Colon and Rectum',90,65,?
'Colon and Rectum',90,70,?
'Colon and Rectum',90,75,?
'Colon and Rectum',90,80,?
'Colon and Rectum',90,85,?
'Colon and Rectum',90,90,?
'Colon and Rectum',90,95,0.82
'Colon and Rectum',90,95,1.171
'Colon and Rectum',95,5,?
'Colon and Rectum',95,10,?
'Colon and Rectum',95,15,?
'Colon and Rectum',95,20,?
'Colon and Rectum',95,25,?
'Colon and Rectum',95,30,?
'Colon and Rectum',95,35,?
'Colon and Rectum',95,40,?
'Colon and Rectum',95,45,?
'Colon and Rectum',95,50,?
'Colon and Rectum',95,55,?
'Colon and Rectum',95,60,?
'Colon and Rectum',95,65,?
'Colon and Rectum',95,70,?
'Colon and Rectum',95,75,?
'Colon and Rectum',95,80,?
'Colon and Rectum',95,85,?
'Colon and Rectum',95,90,?
'Colon and Rectum',95,95,?
'Colon and Rectum',95,95,0.77
'Lung and Bronchus',0,5,0
'Lung and Bronchus',0,10,0.001
'Lung and Bronchus',0,15,0.001
'Lung and Bronchus',0,20,0.002
'Lung and Bronchus',0,25,0.003
'Lung and Bronchus',0,30,0.006
'Lung and Bronchus',0,35,0.013
'Lung and Bronchus',0,40,0.027
'Lung and Bronchus',0,45,0.061
'Lung and Bronchus',0,50,0.149
'Lung and Bronchus',0,55,0.347
'Lung and Bronchus',0,60,0.685
'Lung and Bronchus',0,65,1.186
'Lung and Bronchus',0,70,1.951
'Lung and Bronchus',0,75,2.981
'Lung and Bronchus',0,80,4.069
'Lung and Bronchus',0,85,4.985
'Lung and Bronchus',0,90,5.554
'Lung and Bronchus',0,95,5.784
'Lung and Bronchus',0,95,5.871
'Lung and Bronchus',5,5,?
'Lung and Bronchus',5,10,0
'Lung and Bronchus',5,15,0.001
'Lung and Bronchus',5,20,0.001
'Lung and Bronchus',5,25,0.003
'Lung and Bronchus',5,30,0.006
'Lung and Bronchus',5,35,0.012
'Lung and Bronchus',5,40,0.027
'Lung and Bronchus',5,45,0.061
'Lung and Bronchus',5,50,0.149
'Lung and Bronchus',5,55,0.349
'Lung and Bronchus',5,60,0.691
'Lung and Bronchus',5,65,1.196
'Lung and Bronchus',5,70,1.969
'Lung and Bronchus',5,75,3.009
'Lung and Bronchus',5,80,4.106
'Lung and Bronchus',5,85,5.031
'Lung and Bronchus',5,90,5.605
'Lung and Bronchus',5,95,5.837
'Lung and Bronchus',5,95,5.925
'Lung and Bronchus',10,5,?
'Lung and Bronchus',10,10,?
'Lung and Bronchus',10,15,0
'Lung and Bronchus',10,20,0.001
'Lung and Bronchus',10,25,0.003
'Lung and Bronchus',10,30,0.006
'Lung and Bronchus',10,35,0.012
'Lung and Bronchus',10,40,0.026
'Lung and Bronchus',10,45,0.061
'Lung and Bronchus',10,50,0.149
'Lung and Bronchus',10,55,0.349
'Lung and Bronchus',10,60,0.691
'Lung and Bronchus',10,65,1.197
'Lung and Bronchus',10,70,1.97
'Lung and Bronchus',10,75,3.01
'Lung and Bronchus',10,80,4.108
'Lung and Bronchus',10,85,5.033
'Lung and Bronchus',10,90,5.608
'Lung and Bronchus',10,95,5.84
'Lung and Bronchus',10,95,5.928
'Lung and Bronchus',15,5,?
'Lung and Bronchus',15,10,?
'Lung and Bronchus',15,15,?
'Lung and Bronchus',15,20,0.001
'Lung and Bronchus',15,25,0.002
'Lung and Bronchus',15,30,0.005
'Lung and Bronchus',15,35,0.012
'Lung and Bronchus',15,40,0.026
'Lung and Bronchus',15,45,0.061
'Lung and Bronchus',15,50,0.149
'Lung and Bronchus',15,55,0.349
'Lung and Bronchus',15,60,0.691
'Lung and Bronchus',15,65,1.197
'Lung and Bronchus',15,70,1.97
'Lung and Bronchus',15,75,3.012
